time;x;y;z;gforce
14:09:25:529;0.426;0.414;0.770;0.973
14:09:25:539;0.414;0.414;0.782;0.977
14:09:25:560;0.410;0.426;0.786;0.984
14:09:25:570;0.410;0.434;0.782;0.984
14:09:25:770;0.430;0.442;0.782;0.996
14:09:25:773;0.453;0.450;0.782;1.009
14:09:25:777;0.469;0.457;0.790;1.026
14:09:25:779;0.465;0.457;0.809;1.039
14:09:25:780;0.450;0.453;0.848;1.062
14:09:25:781;0.434;0.442;0.856;1.056
14:09:25:782;0.426;0.434;0.844;1.041
14:09:25:783;0.442;0.438;0.821;1.030
14:09:25:784;0.430;0.461;0.813;1.029
14:09:25:786;0.414;0.477;0.805;1.023
14:09:25:787;0.395;0.481;0.813;1.024
14:09:25:789;0.387;0.473;0.852;1.049
14:09:25:790;0.367;0.465;0.864;1.048
14:09:25:791;0.340;0.461;0.856;1.030
14:09:25:807;0.344;0.477;0.813;1.003
14:09:25:817;0.352;0.508;0.751;0.972
14:09:25:837;0.387;0.528;0.700;0.958
14:09:25:857;0.430;0.543;0.653;0.952
14:09:25:867;0.465;0.571;0.622;0.964
14:09:25:887;0.493;0.567;0.610;0.967
14:09:25:897;0.508;0.563;0.606;0.971
14:09:25:917;0.500;0.551;0.594;0.952
14:09:25:927;0.485;0.536;0.559;0.913
14:09:25:947;0.450;0.555;0.543;0.897
14:09:25:967;0.422;0.579;0.520;0.885
14:09:25:977;0.399;0.598;0.512;0.883
14:09:25:997;0.379;0.602;0.528;0.886
14:09:26:7;0.375;0.602;0.567;0.908
14:09:26:27;0.379;0.606;0.610;0.940
14:09:26:37;0.375;0.602;0.633;0.951
14:09:26:57;0.371;0.606;0.657;0.968
14:09:26:67;0.367;0.618;0.668;0.981
14:09:26:87;0.364;0.622;0.680;0.990
14:09:26:107;0.371;0.618;0.700;1.004
14:09:26:117;0.375;0.618;0.719;1.020
14:09:26:136;0.375;0.622;0.727;1.027
14:09:26:146;0.364;0.625;0.711;1.015
14:09:26:198;0.356;0.633;0.700;1.009
14:09:26:201;0.356;0.641;0.700;1.013
14:09:26:222;0.367;0.641;0.711;1.026
14:09:26:224;0.379;0.629;0.723;1.031
14:09:26:227;0.387;0.625;0.731;1.037
14:09:26:246;0.395;0.618;0.735;1.038
14:09:26:260;0.399;0.618;0.735;1.039
14:09:26:276;0.407;0.618;0.731;1.040
14:09:26:296;0.410;0.606;0.727;1.032
14:09:26:306;0.414;0.598;0.727;1.029
14:09:26:327;0.418;0.590;0.723;1.023
14:09:26:337;0.414;0.586;0.723;1.019
14:09:26:356;0.418;0.582;0.715;1.013
14:09:26:366;0.422;0.586;0.711;1.014
14:09:26:386;0.434;0.598;0.711;1.026
14:09:26:406;0.438;0.598;0.711;1.027
14:09:26:420;0.446;0.606;0.711;1.035
14:09:26:436;0.446;0.610;0.696;1.027
14:09:26:446;0.442;0.606;0.684;1.015
14:09:26:466;0.426;0.602;0.676;1.001
14:09:26:476;0.414;0.602;0.672;0.993
14:09:26:496;0.410;0.594;0.672;0.987
14:09:26:518;0.414;0.598;0.684;0.999
14:09:26:526;0.422;0.594;0.692;1.005
14:09:26:645;0.426;0.586;0.700;1.007
14:09:26:646;0.422;0.586;0.684;0.995
14:09:26:647;0.418;0.590;0.668;0.985
14:09:26:648;0.414;0.598;0.665;0.985
14:09:26:651;0.418;0.602;0.668;0.992
14:09:26:652;0.430;0.610;0.680;1.010
14:09:26:656;0.430;0.606;0.688;1.013
14:09:26:667;0.418;0.598;0.684;1.000
14:09:26:686;0.407;0.598;0.668;0.985
14:09:26:696;0.399;0.602;0.649;0.971
14:09:26:716;0.410;0.610;0.645;0.978
14:09:26:726;0.426;0.614;0.653;0.992
14:09:26:746;0.442;0.614;0.668;1.009
14:09:26:766;0.453;0.606;0.680;1.017
14:09:26:776;0.457;0.606;0.680;1.019
14:09:26:797;0.453;0.602;0.661;1.002
14:09:26:807;0.442;0.606;0.637;0.984
14:09:26:827;0.430;0.606;0.622;0.969
14:09:26:837;0.434;0.614;0.610;0.968
14:09:26:857;0.430;0.614;0.602;0.961
14:09:26:867;0.434;0.610;0.606;0.963
14:09:26:887;0.434;0.610;0.629;0.978
14:09:26:907;0.430;0.614;0.633;0.981
14:09:26:917;0.430;0.622;0.641;0.991
14:09:26:937;0.438;0.614;0.641;0.990
14:09:26:949;0.457;0.606;0.633;0.989
14:09:26:966;0.461;0.590;0.637;0.983
14:09:26:986;0.461;0.582;0.653;0.989
14:09:26:996;0.461;0.590;0.661;0.999
14:09:27:16;0.461;0.594;0.661;1.001
14:09:27:26;0.469;0.594;0.657;1.002
14:09:27:47;0.485;0.586;0.657;1.005
14:09:27:57;0.481;0.579;0.657;0.999
14:09:27:77;0.481;0.579;0.649;0.993
14:09:27:87;0.485;0.571;0.633;0.981
14:09:27:107;0.489;0.567;0.629;0.978
14:09:27:132;0.493;0.567;0.625;0.977
14:09:27:138;0.493;0.559;0.614;0.965
14:09:27:158;0.496;0.555;0.606;0.960
14:09:27:168;0.500;0.551;0.594;0.952
14:09:27:189;0.504;0.555;0.610;0.967
14:09:27:198;0.508;0.555;0.637;0.986
14:09:27:219;0.512;0.551;0.668;1.006
14:09:27:232;0.512;0.543;0.684;1.013
14:09:27:250;0.512;0.539;0.684;1.011
14:09:27:270;0.508;0.547;0.680;1.010
14:09:27:279;0.508;0.555;0.676;1.012
14:09:27:300;0.504;0.559;0.668;1.007
14:09:27:309;0.500;0.555;0.665;1.000
14:09:27:329;0.493;0.555;0.692;1.015
14:09:27:349;0.481;0.555;0.708;1.020
14:09:27:359;0.465;0.547;0.700;1.003
14:09:27:379;0.453;0.551;0.692;0.994
14:09:27:389;0.438;0.559;0.688;0.989
14:09:27:411;0.430;0.571;0.696;0.997
14:09:27:420;0.414;0.571;0.700;0.993
14:09:27:439;0.399;0.571;0.715;0.998
14:09:27:449;0.383;0.582;0.735;1.013
14:09:27:470;0.364;0.582;0.739;1.009
14:09:27:491;0.356;0.590;0.739;1.010
14:09:27:499;0.348;0.594;0.747;1.016
14:09:27:520;0.348;0.594;0.762;1.027
14:09:27:529;0.344;0.586;0.774;1.030
14:09:27:549;0.348;0.579;0.790;1.039
14:09:27:559;0.352;0.567;0.797;1.040
14:09:27:599;0.360;0.555;0.801;1.039
14:09:27:603;0.379;0.551;0.805;1.047
14:09:27:609;0.407;0.555;0.809;1.062
14:09:27:629;0.426;0.547;0.817;1.072
14:09:27:639;0.430;0.539;0.821;1.072
14:09:27:659;0.426;0.536;0.821;1.069
14:09:27:670;0.418;0.532;0.813;1.058
14:09:27:689;0.407;0.532;0.805;1.047
14:09:27:711;0.403;0.532;0.797;1.040
14:09:27:720;0.403;0.528;0.794;1.035
14:09:27:740;0.407;0.528;0.782;1.027
14:09:27:749;0.410;0.528;0.778;1.026
14:09:27:770;0.407;0.524;0.766;1.013
14:09:27:779;0.395;0.520;0.747;0.992
14:09:27:801;0.387;0.524;0.747;0.991
14:09:27:820;0.391;0.524;0.762;1.004
14:09:27:829;0.403;0.520;0.774;1.016
14:09:27:849;0.403;0.512;0.782;1.018
14:09:27:859;0.399;0.504;0.770;1.003
14:09:27:879;0.383;0.493;0.747;0.973
14:09:27:889;0.364;0.496;0.723;0.949
14:09:27:911;0.344;0.504;0.704;0.931
14:09:27:929;0.317;0.508;0.680;0.906
14:09:27:939;0.309;0.528;0.688;0.920
14:09:27:971;0.313;0.524;0.715;0.940
14:09:27:975;0.328;0.516;0.735;0.956
14:09:27:994;0.340;0.504;0.743;0.960
14:09:28:32;0.348;0.504;0.739;0.960
14:09:28:34;0.356;0.524;0.723;0.961
14:09:28:36;0.364;0.559;0.700;0.967
14:09:28:46;0.371;0.579;0.688;0.973
14:09:28:60;0.387;0.598;0.692;0.993
14:09:28:78;0.410;0.610;0.704;1.018
14:09:28:99;0.422;0.618;0.715;1.035
14:09:28:108;0.426;0.614;0.719;1.037
14:09:28:332;0.422;0.618;0.723;1.040
14:09:28:334;0.414;0.618;0.719;1.035
14:09:28:336;0.407;0.618;0.719;1.032
14:09:28:338;0.403;0.618;0.735;1.041
14:09:28:401;0.403;0.614;0.751;1.050
14:09:28:402;0.410;0.622;0.762;1.066
14:09:28:474;0.407;0.622;0.774;1.073
14:09:28:477;0.399;0.618;0.782;1.073
14:09:28:478;0.387;0.614;0.782;1.067
14:09:28:479;0.375;0.602;0.774;1.050
14:09:28:480;0.375;0.594;0.762;1.037
14:09:28:481;0.391;0.598;0.758;1.042
14:09:28:482;0.407;0.594;0.751;1.040
14:09:28:484;0.418;0.586;0.735;1.029
14:09:28:485;0.418;0.579;0.715;1.011
14:09:28:486;0.418;0.571;0.692;0.990
14:09:28:487;0.422;0.559;0.672;0.971
14:09:28:489;0.426;0.551;0.668;0.965
14:09:28:490;0.430;0.543;0.672;0.965
14:09:28:491;0.438;0.543;0.676;0.972
14:09:28:492;0.450;0.539;0.676;0.975
14:09:28:493;0.457;0.539;0.688;0.987
14:09:28:494;0.446;0.536;0.684;0.976
14:09:28:495;0.434;0.539;0.672;0.965
14:09:28:507;0.426;0.539;0.672;0.962
14:09:28:517;0.418;0.539;0.676;0.961
14:09:28:537;0.418;0.543;0.672;0.960
14:09:28:547;0.430;0.543;0.688;0.976
14:09:28:567;0.446;0.543;0.700;0.992
14:09:28:577;0.457;0.536;0.711;1.001
14:09:28:597;0.457;0.532;0.711;0.999
14:09:28:617;0.450;0.532;0.704;0.990
14:09:28:627;0.442;0.532;0.696;0.981
14:09:28:647;0.442;0.536;0.700;0.986
14:09:28:657;0.446;0.536;0.711;0.996
14:09:28:677;0.442;0.539;0.723;1.005
14:09:28:687;0.434;0.551;0.719;1.005
14:09:28:707;0.418;0.551;0.704;0.987
14:09:28:717;0.395;0.559;0.692;0.973
14:09:28:737;0.379;0.571;0.700;0.979
14:09:28:757;0.371;0.571;0.715;0.988
14:09:28:782;0.371;0.575;0.735;1.004
14:09:28:791;0.379;0.575;0.762;1.027
14:09:28:800;0.383;0.567;0.770;1.030
14:09:28:820;0.391;0.571;0.766;1.032
14:09:28:841;0.391;0.575;0.754;1.026
14:09:28:849;0.391;0.579;0.751;1.025
14:09:28:890;0.395;0.575;0.751;1.024
14:09:28:894;0.399;0.571;0.758;1.029
14:09:28:900;0.403;0.563;0.766;1.032
14:09:28:909;0.407;0.555;0.774;1.036
14:09:28:929;0.414;0.559;0.770;1.038
14:09:28:949;0.410;0.567;0.754;1.029
14:09:28:959;0.410;0.571;0.743;1.023
14:09:28:979;0.410;0.567;0.735;1.015
14:09:28:989;0.410;0.563;0.727;1.007
14:09:29:11;0.410;0.567;0.727;1.009
14:09:29:20;0.403;0.563;0.727;1.004
14:09:29:40;0.395;0.559;0.731;1.001
14:09:29:49;0.383;0.563;0.723;0.993
14:09:29:70;0.375;0.571;0.727;0.998
14:09:29:89;0.367;0.575;0.727;0.997
14:09:29:122;0.367;0.567;0.723;0.990
14:09:29:131;0.371;0.567;0.723;0.991
14:09:29:132;0.379;0.563;0.727;0.995
14:09:29:147;0.391;0.567;0.735;1.007
14:09:29:157;0.387;0.571;0.743;1.013
14:09:29:180;0.383;0.579;0.739;1.014
14:09:29:199;0.375;0.582;0.735;1.010
14:09:29:208;0.371;0.590;0.727;1.007
14:09:29:228;0.367;0.590;0.735;1.012
14:09:29:238;0.371;0.586;0.735;1.011
14:09:29:257;0.375;0.582;0.739;1.013
14:09:29:267;0.383;0.582;0.735;1.013
14:09:29:290;0.383;0.586;0.719;1.004
14:09:29:309;0.387;0.594;0.715;1.007
14:09:29:318;0.395;0.598;0.711;1.010
14:09:29:332;0.391;0.590;0.711;1.004
14:09:29:351;0.395;0.582;0.708;0.998
14:09:29:370;0.399;0.575;0.711;0.998
14:09:29:379;0.407;0.575;0.704;0.995
14:09:29:400;0.410;0.579;0.688;0.988
14:09:29:409;0.410;0.586;0.672;0.982
14:09:29:429;0.407;0.594;0.665;0.980
14:09:29:449;0.399;0.586;0.653;0.964
14:09:29:459;0.395;0.582;0.645;0.955
14:09:29:479;0.395;0.582;0.653;0.960
14:09:29:489;0.399;0.582;0.668;0.972
14:09:29:510;0.399;0.586;0.672;0.977
14:09:29:519;0.395;0.586;0.672;0.976
14:09:29:541;0.391;0.594;0.672;0.979
14:09:29:561;0.391;0.598;0.676;0.984
14:09:29:570;0.387;0.598;0.676;0.982
14:09:29:591;0.395;0.602;0.684;0.993
14:09:29:599;0.410;0.602;0.692;1.005
14:09:29:620;0.422;0.602;0.696;1.012
14:09:29:629;0.426;0.602;0.688;1.009
14:09:29:651;0.422;0.606;0.676;1.001
14:09:29:670;0.414;0.606;0.672;0.995
14:09:29:679;0.414;0.606;0.665;0.990
14:09:29:870;0.418;0.610;0.672;0.999
14:09:29:872;0.422;0.614;0.680;1.009
14:09:29:873;0.426;0.606;0.680;1.006
14:09:29:875;0.426;0.610;0.676;1.005
14:09:29:877;0.418;0.610;0.672;0.999
14:09:29:879;0.414;0.610;0.672;0.998
14:09:29:880;0.422;0.610;0.676;1.004
14:09:29:881;0.426;0.606;0.680;1.006
14:09:29:883;0.426;0.602;0.680;1.003
14:09:29:884;0.422;0.594;0.680;0.997
14:09:29:887;0.418;0.598;0.676;0.995
14:09:29:889;0.418;0.594;0.676;0.993
14:09:29:897;0.422;0.598;0.672;0.994
14:09:29:917;0.430;0.610;0.680;1.010
14:09:29:931;0.438;0.606;0.684;1.013
14:09:29:950;0.438;0.602;0.684;1.011
14:09:29:957;0.430;0.598;0.684;1.005
14:09:29:978;0.422;0.594;0.676;0.994
14:09:29:989;0.418;0.590;0.672;0.988
14:09:30:9;0.418;0.594;0.668;0.987
14:09:30:32;0.422;0.590;0.672;0.989
14:09:30:39;0.422;0.594;0.684;1.000
14:09:30:61;0.422;0.590;0.684;0.997
14:09:30:70;0.418;0.586;0.676;0.988
14:09:30:91;0.410;0.582;0.672;0.980
14:09:30:99;0.403;0.586;0.668;0.976
14:09:30:139;0.407;0.594;0.676;0.988
14:09:30:149;0.410;0.594;0.688;0.997
14:09:30:174;0.410;0.590;0.700;1.003
14:09:30:181;0.410;0.590;0.704;1.006
14:09:30:199;0.418;0.590;0.711;1.015
14:09:30:209;0.422;0.590;0.711;1.016
14:09:30:232;0.418;0.590;0.715;1.017
14:09:30:247;0.418;0.590;0.708;1.012
14:09:30:257;0.414;0.594;0.700;1.007
14:09:30:281;0.410;0.590;0.696;1.000
14:09:30:288;0.414;0.590;0.696;1.002
14:09:30:318;0.414;0.586;0.696;1.000
14:09:30:338;0.410;0.586;0.696;0.998
14:09:30:358;0.407;0.579;0.696;0.992
14:09:30:369;0.410;0.582;0.700;0.999
14:09:30:420;0.410;0.582;0.696;0.996
14:09:30:429;0.410;0.579;0.704;0.999
14:09:30:451;0.407;0.575;0.704;0.995
14:09:30:470;0.403;0.579;0.700;0.993
14:09:30:479;0.399;0.579;0.704;0.994
14:09:30:501;0.399;0.575;0.704;0.992
14:09:30:509;0.403;0.575;0.708;0.996
14:09:30:529;0.403;0.582;0.708;1.001
14:09:30:539;0.403;0.582;0.711;1.004
14:09:30:561;0.407;0.582;0.711;1.005
14:09:30:570;0.414;0.586;0.711;1.011
14:09:30:591;0.410;0.582;0.711;1.007
14:09:30:611;0.407;0.579;0.711;1.003
14:09:30:620;0.403;0.579;0.708;0.999
14:09:30:639;0.403;0.579;0.704;0.996
14:09:30:649;0.407;0.579;0.708;1.000
14:09:30:670;0.410;0.579;0.711;1.005
14:09:30:679;0.414;0.579;0.711;1.006
14:09:30:701;0.418;0.575;0.715;1.008
14:09:30:720;0.414;0.575;0.711;1.004
14:09:30:729;0.407;0.575;0.704;0.995
14:09:30:749;0.403;0.579;0.700;0.993
14:09:30:759;0.399;0.575;0.704;0.992
14:09:30:779;0.399;0.571;0.708;0.993
14:09:30:811;0.407;0.571;0.715;1.001
14:09:30:839;0.410;0.571;0.708;0.997
14:09:30:861;0.407;0.575;0.704;0.995
14:09:30:870;0.403;0.575;0.700;0.991
14:09:30:891;0.407;0.575;0.704;0.995
14:09:30:920;0.407;0.571;0.708;0.996
14:09:30:939;0.407;0.567;0.711;0.996
14:09:30:950;0.414;0.571;0.719;1.007
14:09:30:970;0.414;0.571;0.723;1.010
14:09:30:979;0.410;0.571;0.715;1.003
14:09:31:1;0.410;0.579;0.711;1.005
14:09:31:9;0.407;0.571;0.704;0.993
14:09:31:29;0.403;0.571;0.704;0.991
14:09:31:49;0.403;0.563;0.711;0.992
14:09:31:59;0.407;0.567;0.719;1.002
14:09:31:79;0.410;0.567;0.723;1.006
14:09:31:89;0.410;0.571;0.719;1.006
14:09:31:111;0.410;0.575;0.711;1.002
14:09:31:120;0.407;0.575;0.708;0.998
14:09:31:140;0.403;0.567;0.704;0.989
14:09:31:161;0.403;0.567;0.708;0.992
14:09:31:170;0.403;0.563;0.708;0.990
14:09:31:191;0.403;0.563;0.715;0.995
14:09:31:199;0.410;0.563;0.727;1.007
14:09:31:220;0.410;0.563;0.731;1.010
14:09:31:229;0.407;0.567;0.723;1.005
14:09:31:258;0.407;0.563;0.715;0.997
14:09:31:270;0.407;0.567;0.719;1.002
14:09:31:309;0.403;0.563;0.715;0.995
14:09:31:313;0.395;0.563;0.711;0.989
14:09:31:332;0.399;0.563;0.715;0.994
14:09:31:337;0.407;0.571;0.719;1.004
14:09:31:362;0.403;0.567;0.715;0.998
14:09:31:389;0.407;0.571;0.727;1.010
14:09:31:409;0.410;0.567;0.731;1.012
14:09:31:638;0.407;0.567;0.727;1.008
14:09:31:640;0.407;0.571;0.727;1.010
14:09:31:641;0.407;0.575;0.723;1.009
14:09:31:643;0.403;0.571;0.723;1.005
14:09:31:644;0.395;0.571;0.727;1.005
14:09:31:647;0.399;0.571;0.723;1.004
14:09:31:648;0.395;0.567;0.715;0.994
14:09:31:649;0.399;0.571;0.715;0.998
14:09:31:650;0.407;0.567;0.719;1.002
14:09:31:652;0.410;0.567;0.723;1.006
14:09:31:653;0.410;0.571;0.723;1.009
14:09:31:655;0.410;0.567;0.715;1.001
14:09:31:662;0.403;0.563;0.708;0.990
14:09:31:664;0.403;0.567;0.704;0.989
14:09:31:668;0.399;0.563;0.700;0.983
14:09:31:670;0.403;0.563;0.704;0.987
14:09:31:671;0.403;0.563;0.711;0.992
14:09:31:689;0.407;0.563;0.711;0.994
14:09:31:697;0.410;0.563;0.719;1.001
14:09:31:717;0.407;0.563;0.719;1.000
14:09:31:743;0.407;0.567;0.715;0.999
14:09:31:748;0.403;0.567;0.711;0.995
14:09:31:768;0.403;0.567;0.708;0.992
14:09:31:778;0.407;0.571;0.711;0.999
14:09:31:801;0.407;0.571;0.719;1.004
14:09:31:829;0.403;0.571;0.719;1.003
14:09:31:860;0.403;0.571;0.715;1.000
14:09:31:898;0.407;0.571;0.719;1.004
14:09:31:902;0.407;0.567;0.715;0.999
14:09:31:909;0.407;0.571;0.711;0.999
14:09:31:919;0.403;0.563;0.711;0.992
14:09:31:939;0.399;0.563;0.715;0.994
14:09:31:959;0.399;0.559;0.715;0.992
14:09:31:969;0.403;0.559;0.715;0.993
14:09:31:991;0.403;0.563;0.711;0.992
14:09:31:999;0.407;0.567;0.711;0.996
14:09:32:20;0.403;0.571;0.711;0.997
14:09:32:29;0.403;0.567;0.711;0.995
14:09:32:50;0.403;0.567;0.715;0.998
14:09:32:59;0.403;0.567;0.719;1.000
14:09:32:99;0.403;0.567;0.727;1.006
14:09:32:104;0.407;0.571;0.727;1.010
14:09:32:110;0.403;0.571;0.723;1.005
14:09:32:129;0.407;0.575;0.715;1.004
14:09:32:139;0.395;0.575;0.708;0.993
14:09:32:159;0.391;0.571;0.708;0.989
14:09:32:179;0.391;0.567;0.719;0.996
14:09:32:189;0.399;0.567;0.723;1.002
14:09:32:211;0.399;0.563;0.727;1.002
14:09:32:220;0.403;0.567;0.719;1.000
14:09:32:241;0.403;0.571;0.719;1.003
14:09:32:249;0.399;0.567;0.711;0.993
14:09:32:279;0.399;0.567;0.715;0.996
14:09:32:300;0.399;0.559;0.719;0.994
14:09:32:320;0.399;0.563;0.727;1.002
14:09:32:329;0.399;0.567;0.723;1.002
14:09:32:349;0.399;0.567;0.715;0.996
14:09:32:369;0.399;0.571;0.711;0.995
14:09:32:389;0.399;0.567;0.715;0.996
14:09:32:409;0.403;0.567;0.719;1.000
14:09:32:429;0.403;0.571;0.723;1.005
14:09:32:442;0.403;0.571;0.719;1.003
14:09:32:457;0.403;0.575;0.719;1.005
14:09:32:471;0.403;0.575;0.715;1.002
14:09:32:490;0.399;0.575;0.715;1.000
14:09:32:498;0.403;0.571;0.719;1.003
14:09:32:518;0.399;0.567;0.719;0.999
14:09:32:528;0.403;0.571;0.715;1.000
14:09:32:570;0.399;0.567;0.715;0.996
14:09:32:579;0.399;0.563;0.708;0.988
14:09:32:601;0.399;0.567;0.711;0.993
14:09:32:609;0.399;0.567;0.708;0.990
14:09:32:629;0.403;0.571;0.711;0.997
14:09:32:639;0.403;0.567;0.719;1.000
14:09:32:660;0.403;0.563;0.719;0.998
14:09:32:679;0.403;0.567;0.719;1.000
14:09:32:711;0.399;0.571;0.715;0.998
14:09:32:720;0.403;0.571;0.715;1.000
14:09:32:741;0.403;0.571;0.711;0.997
14:09:32:770;0.407;0.567;0.708;0.994
14:09:32:791;0.407;0.571;0.711;0.999
14:09:32:799;0.407;0.571;0.715;1.001
14:09:32:820;0.410;0.575;0.719;1.008
14:09:32:850;0.407;0.571;0.715;1.001
14:09:32:859;0.403;0.571;0.711;0.997
14:09:32:879;0.399;0.575;0.708;0.995
14:09:32:901;0.403;0.575;0.711;0.999
14:09:32:909;0.407;0.571;0.715;1.001
14:09:32:929;0.407;0.571;0.719;1.004
14:09:32:939;0.410;0.571;0.715;1.003
14:09:32:959;0.403;0.571;0.711;0.997
14:09:32:969;0.399;0.571;0.708;0.993
14:09:32:991;0.399;0.567;0.711;0.993
14:09:33:11;0.403;0.567;0.715;0.998
14:09:33:20;0.407;0.567;0.719;1.002
14:09:33:41;0.410;0.567;0.715;1.001
14:09:33:70;0.403;0.571;0.708;0.994
14:09:33:79;0.403;0.571;0.704;0.991
14:09:33:101;0.403;0.571;0.708;0.994
14:09:33:120;0.403;0.571;0.711;0.997
14:09:33:349;0.407;0.567;0.715;0.999
14:09:33:351;0.407;0.571;0.715;1.001
14:09:33:352;0.410;0.571;0.715;1.003
14:09:33:353;0.410;0.571;0.711;1.000
14:09:33:355;0.407;0.571;0.715;1.001
14:09:33:358;0.403;0.571;0.715;1.000
14:09:33:359;0.403;0.571;0.711;0.997
14:09:33:361;0.407;0.571;0.708;0.996
14:09:33:362;0.403;0.571;0.708;0.994
14:09:33:363;0.407;0.567;0.711;0.996
14:09:33:364;0.407;0.567;0.708;0.994
14:09:33:379;0.403;0.567;0.704;0.989
14:09:33:383;0.407;0.563;0.711;0.994
14:09:33:392;0.403;0.563;0.711;0.992
14:09:33:393;0.407;0.563;0.711;0.994
14:09:33:394;0.410;0.571;0.708;0.997
14:09:33:427;0.414;0.567;0.715;1.002
14:09:33:441;0.410;0.567;0.715;1.001
14:09:33:468;0.410;0.567;0.719;1.003
14:09:33:478;0.410;0.567;0.715;1.001
14:09:33:488;0.407;0.567;0.711;0.996
14:09:33:508;0.407;0.567;0.708;0.994
14:09:33:518;0.414;0.571;0.711;1.002
14:09:33:538;0.414;0.567;0.715;1.002
14:09:33:558;0.418;0.567;0.715;1.004
14:09:33:611;0.414;0.567;0.719;1.005
14:09:33:613;0.410;0.571;0.719;1.006
14:09:33:617;0.407;0.571;0.708;0.996
14:09:33:618;0.399;0.571;0.704;0.990
14:09:33:627;0.403;0.567;0.700;0.986
14:09:33:649;0.407;0.567;0.708;0.994
14:09:33:658;0.410;0.563;0.711;0.996
14:09:33:678;0.414;0.563;0.715;1.000
14:09:33:692;0.410;0.567;0.715;1.001
14:09:33:709;0.407;0.567;0.711;0.996
14:09:33:729;0.407;0.563;0.708;0.991
14:09:33:771;0.410;0.559;0.711;0.993
14:09:33:809;0.414;0.559;0.715;0.998
14:09:33:820;0.414;0.559;0.711;0.995
14:09:33:839;0.414;0.559;0.700;0.987
14:09:33:862;0.422;0.563;0.700;0.992
14:09:33:870;0.422;0.571;0.692;0.991
14:09:33:879;0.426;0.575;0.692;0.995
14:09:33:899;0.426;0.575;0.696;0.998
14:09:33:920;0.422;0.567;0.692;0.989
14:09:33:929;0.422;0.563;0.680;0.979
14:09:33:950;0.422;0.571;0.672;0.978
14:09:33:959;0.434;0.567;0.633;0.954
14:09:33:979;0.438;0.559;0.661;0.970
14:09:33:989;0.434;0.551;0.645;0.953
14:09:34:10;0.457;0.563;0.672;0.989
14:09:34:20;0.442;0.516;0.700;0.975
14:09:34:41;0.453;0.532;0.704;0.992
14:09:34:61;0.446;0.528;0.684;0.972
14:09:34:70;0.438;0.520;0.680;0.962
14:09:34:90;0.438;0.508;0.680;0.955
14:09:34:99;0.438;0.504;0.668;0.945
14:09:34:119;0.434;0.516;0.665;0.947
14:09:34:151;0.438;0.520;0.680;0.962
14:09:34:170;0.453;0.516;0.700;0.981
14:09:34:179;0.461;0.508;0.715;0.991
14:09:34:200;0.457;0.500;0.708;0.980
14:09:34:209;0.453;0.500;0.696;0.970
14:09:34:229;0.446;0.493;0.696;0.962
14:09:34:239;0.453;0.493;0.696;0.966
14:09:34:261;0.453;0.496;0.708;0.976
14:09:34:279;0.450;0.493;0.711;0.975
14:09:34:289;0.446;0.485;0.711;0.969
14:09:34:309;0.450;0.477;0.715;0.970
14:09:34:319;0.450;0.473;0.719;0.971
14:09:34:341;0.442;0.457;0.735;0.972
14:09:34:349;0.438;0.450;0.735;0.966
14:09:34:370;0.438;0.446;0.747;0.973
14:09:34:390;0.442;0.450;0.758;0.986
14:09:34:399;0.453;0.446;0.782;1.008
14:09:34:419;0.465;0.446;0.801;1.028
14:09:34:429;0.469;0.438;0.805;1.030
14:09:34:451;0.461;0.434;0.801;1.021
14:09:34:459;0.461;0.430;0.801;1.020
14:09:34:479;0.469;0.426;0.809;1.028
14:09:34:500;0.489;0.422;0.817;1.041
14:09:34:509;0.500;0.430;0.829;1.059
14:09:34:530;0.508;0.430;0.821;1.057
14:09:34:539;0.493;0.414;0.794;1.022
14:09:34:559;0.485;0.410;0.774;1.001
14:09:34:570;0.489;0.418;0.774;1.006
14:09:34:592;0.493;0.426;0.770;1.009
14:09:34:611;0.504;0.430;0.762;1.010
14:09:34:618;0.512;0.422;0.758;1.008
14:09:34:640;0.516;0.414;0.762;1.009
14:09:34:648;0.516;0.410;0.751;0.999
14:09:34:668;0.520;0.418;0.735;0.993
14:09:34:678;0.536;0.430;0.731;1.003
14:09:34:700;0.559;0.442;0.739;1.026
14:09:34:709;0.575;0.446;0.751;1.045
14:09:34:729;0.579;0.446;0.758;1.053
14:09:34:751;0.567;0.438;0.747;1.035
14:09:34:759;0.555;0.438;0.727;1.014
14:09:34:779;0.555;0.446;0.711;1.006
14:09:34:789;0.559;0.450;0.704;1.005
14:09:34:997;0.555;0.453;0.700;1.002
14:09:34:998;0.547;0.453;0.696;0.995
14:09:35:0;0.536;0.457;0.688;0.984
14:09:35:1;0.528;0.461;0.676;0.974
14:09:35:2;0.528;0.473;0.672;0.977
14:09:35:3;0.528;0.473;0.680;0.982
14:09:35:4;0.536;0.477;0.700;1.002
14:09:35:7;0.547;0.481;0.723;1.026
14:09:35:8;0.555;0.473;0.747;1.044
14:09:35:9;0.555;0.465;0.754;1.046
14:09:35:10;0.539;0.457;0.751;1.031
14:09:35:11;0.524;0.446;0.731;1.004
14:09:35:12;0.528;0.442;0.719;0.995
14:09:35:14;0.539;0.457;0.723;1.011
14:09:35:27;0.543;0.438;0.731;1.011
14:09:35:37;0.532;0.430;0.747;1.012
14:09:35:59;0.520;0.430;0.754;1.012
