time;x;y;z;gforce
14:08:57:1;0.008;0.188;1.001;1.018
14:08:57:17;0.016;0.195;1.001;1.020
14:08:57:45;0.020;0.199;1.005;1.024
14:08:57:55;0.016;0.195;0.993;1.012
14:08:57:57;0.008;0.188;0.989;1.007
14:08:57:77;0.004;0.180;0.993;1.009
14:08:57:99;0.000;0.180;0.993;1.009
14:08:57:107;0.008;0.184;0.993;1.010
14:08:57:146;0.020;0.192;0.997;1.015
14:08:57:148;0.020;0.192;0.993;1.011
14:08:57:169;0.016;0.188;0.989;1.007
14:08:57:171;0.016;0.188;0.985;1.003
14:08:57:187;0.016;0.188;0.989;1.007
14:08:57:208;0.016;0.192;0.989;1.007
14:08:57:217;0.020;0.192;0.993;1.011
14:08:57:258;0.016;0.192;0.997;1.015
14:08:57:280;0.012;0.188;0.993;1.011
14:08:57:283;0.008;0.180;0.989;1.005
14:08:57:297;0.012;0.180;0.989;1.005
14:08:57:300;0.020;0.184;0.993;1.010
14:08:57:317;0.023;0.184;0.993;1.010
14:08:57:351;0.031;0.192;1.001;1.019
14:08:57:366;0.035;0.195;1.001;1.020
14:08:57:368;0.031;0.195;1.001;1.020
14:08:57:385;0.027;0.188;1.008;1.026
14:08:57:387;0.016;0.184;0.997;1.014
14:08:57:407;0.008;0.180;0.985;1.001
14:08:57:449;0.004;0.180;0.977;0.994
14:08:57:452;0.004;0.180;0.985;1.001
14:08:57:467;0.008;0.176;0.997;1.012
14:08:57:470;0.016;0.180;1.012;1.028
14:08:57:487;0.016;0.184;1.005;1.021
14:08:57:504;0.016;0.188;0.989;1.007
14:08:57:519;0.008;0.192;0.977;0.996
14:08:57:548;0.000;0.188;0.981;0.999
14:08:57:559;-0.004;0.180;0.985;1.001
14:08:57:569;-0.008;0.176;1.005;1.020
14:08:57:579;0.000;0.176;1.008;1.024
14:08:57:598;0.004;0.184;1.001;1.017
14:08:57:612;0.008;0.188;0.997;1.014
14:08:57:641;0.012;0.195;0.981;1.000
14:08:57:652;0.004;0.195;0.977;0.997
14:08:57:662;0.004;0.192;0.985;1.003
14:08:57:679;0.008;0.188;1.001;1.018
14:08:57:686;0.016;0.192;1.005;1.023
14:08:57:707;0.012;0.192;1.001;1.019
14:08:57:717;0.008;0.192;0.997;1.015
14:08:57:747;0.004;0.188;0.989;1.007
14:08:57:762;0.008;0.188;0.985;1.003
14:08:57:778;0.012;0.192;0.985;1.004
14:08:57:787;0.016;0.192;0.989;1.007
14:08:57:800;0.012;0.188;0.985;1.003
14:08:57:817;0.008;0.192;0.989;1.007
14:08:57:849;0.000;0.192;0.985;1.003
14:08:57:865;-0.004;0.192;0.989;1.007
14:08:57:867;-0.004;0.188;0.997;1.014
14:08:57:881;0.004;0.192;1.001;1.019
14:08:57:897;0.008;0.195;1.001;1.020
14:08:57:911;0.008;0.203;0.993;1.013
14:08:57:928;0.004;0.199;0.985;1.005
14:08:57:937;0.000;0.199;0.977;0.997
14:08:57:972;-0.008;0.195;0.969;0.989
14:08:57:974;-0.012;0.188;0.973;0.991
14:08:58:9;-0.004;0.188;0.977;0.995
14:08:58:33;0.000;0.195;0.977;0.997
14:08:58:37;0.000;0.199;0.977;0.997
14:08:58:49;0.004;0.199;0.977;0.997
14:08:58:51;0.012;0.203;0.981;1.002
14:08:58:228;0.016;0.199;0.977;0.997
14:08:58:230;0.027;0.199;0.977;0.998
14:08:58:232;0.035;0.199;0.977;0.998
14:08:58:234;0.043;0.207;0.977;1.000
14:08:58:238;0.039;0.207;0.981;1.004
14:08:58:240;0.035;0.207;1.001;1.023
14:08:58:242;0.027;0.203;1.005;1.025
14:08:58:244;0.023;0.207;1.001;1.022
14:08:58:246;0.020;0.207;0.993;1.014
14:08:58:261;0.023;0.207;0.973;0.995
14:08:58:263;0.020;0.211;0.958;0.981
14:08:58:265;0.020;0.215;0.962;0.986
14:08:58:267;0.012;0.207;0.962;0.984
14:08:58:270;0.008;0.203;0.973;0.994
14:08:58:330;0.008;0.207;0.981;1.003
14:08:58:331;0.008;0.211;0.977;1.000
14:08:58:333;0.008;0.219;0.958;0.982
14:08:58:335;0.008;0.223;0.973;0.999
14:08:58:349;0.004;0.223;0.989;1.014
14:08:58:382;0.000;0.219;0.985;1.009
14:08:58:393;0.000;0.215;1.005;1.027
14:08:58:396;0.012;0.215;1.016;1.039
14:08:58:415;0.020;0.219;1.005;1.028
14:08:58:440;0.020;0.223;0.989;1.014
14:08:58:470;0.012;0.223;0.969;0.995
14:08:58:485;0.008;0.223;0.962;0.987
14:08:58:490;0.000;0.215;0.965;0.989
14:08:58:499;-0.008;0.207;0.981;1.003
14:08:58:509;-0.012;0.207;0.985;1.007
14:08:58:531;-0.020;0.207;0.993;1.014
14:08:58:564;-0.020;0.207;0.997;1.018
14:08:58:566;-0.023;0.199;1.001;1.021
14:08:58:581;-0.023;0.199;0.997;1.017
14:08:58:598;-0.020;0.199;0.989;1.009
14:08:58:600;-0.008;0.203;0.997;1.017
14:08:58:617;0.000;0.207;0.993;1.014
14:08:58:630;0.000;0.207;0.989;1.010
14:08:58:661;-0.004;0.207;0.973;0.995
14:08:58:674;-0.004;0.207;0.965;0.987
14:08:58:677;-0.004;0.211;0.962;0.984
14:08:58:697;0.004;0.211;0.969;0.992
14:08:58:709;0.016;0.211;0.977;1.000
14:08:58:727;0.027;0.219;0.985;1.009
14:08:58:743;0.031;0.223;0.985;1.010
14:08:58:783;0.023;0.219;0.985;1.009
14:08:58:798;0.016;0.215;0.981;1.005
14:08:58:800;0.012;0.215;0.981;1.004
14:08:58:809;0.016;0.215;0.981;1.005
14:08:58:829;0.020;0.219;0.977;1.002
14:08:58:861;0.023;0.223;0.973;0.999
14:08:58:863;0.023;0.223;0.977;1.003
14:08:58:879;0.023;0.227;0.981;1.007
14:08:58:881;0.027;0.227;0.977;1.004
14:08:58:896;0.027;0.227;0.969;0.996
14:08:58:921;0.016;0.223;0.965;0.991
14:08:58:927;0.008;0.219;0.969;0.994
14:08:58:962;0.000;0.219;0.977;1.001
14:08:58:977;0.000;0.219;0.981;1.005
14:08:58:980;0.004;0.223;0.993;1.018
14:08:58:993;0.008;0.227;0.993;1.018
14:08:59:8;0.012;0.235;0.997;1.024
14:08:59:23;0.008;0.235;0.993;1.020
14:08:59:43;0.004;0.231;0.989;1.015
14:08:59:77;-0.004;0.219;0.985;1.009
14:08:59:93;-0.004;0.215;0.981;1.004
14:08:59:95;-0.004;0.215;0.977;1.001
14:08:59:96;0.004;0.219;0.973;0.998
14:08:59:121;0.020;0.227;0.977;1.003
14:08:59:127;0.027;0.235;0.969;0.998
14:08:59:162;0.023;0.235;0.958;0.986
14:08:59:178;0.020;0.235;0.962;0.990
14:08:59:180;0.008;0.223;0.962;0.987
14:08:59:197;0.008;0.223;0.973;0.999
14:08:59:207;0.016;0.235;0.985;1.013
14:08:59:230;0.012;0.238;0.997;1.025
14:08:59:242;0.008;0.238;1.001;1.029
14:08:59:276;0.000;0.235;0.989;1.016
14:08:59:291;-0.004;0.227;0.981;1.007
14:08:59:293;0.000;0.227;0.973;0.999
14:08:59:306;0.016;0.238;0.969;0.998
14:08:59:321;0.020;0.242;0.965;0.996
14:08:59:340;0.012;0.235;0.962;0.990
14:08:59:347;0.012;0.227;0.973;0.999
14:08:59:379;0.016;0.231;0.973;1.000
14:08:59:394;0.016;0.235;0.973;1.001
14:08:59:396;0.008;0.235;0.973;1.001
14:08:59:421;0.008;0.238;0.973;1.002
14:08:59:426;0.004;0.235;0.973;1.001
14:08:59:460;0.000;0.238;0.973;1.002
14:08:59:462;0.004;0.238;0.969;0.998
14:08:59:480;0.004;0.242;0.977;1.007
14:08:59:504;0.016;0.246;0.989;1.019
14:08:59:510;0.023;0.250;0.993;1.024
14:08:59:530;0.027;0.254;0.993;1.025
14:08:59:536;0.027;0.250;0.989;1.020
14:08:59:577;0.020;0.242;0.977;1.007
14:08:59:591;0.008;0.235;0.969;0.997
14:08:59:593;0.000;0.235;0.965;0.994
14:08:59:607;0.004;0.238;0.969;0.998
14:08:59:622;0.027;0.250;0.985;1.017
14:08:59:783;0.039;0.254;0.981;1.014
14:08:59:786;0.023;0.242;0.950;0.981
14:08:59:788;0.035;0.231;0.926;0.955
14:08:59:791;0.063;0.266;0.930;0.970
14:08:59:793;0.074;0.293;0.938;0.986
14:08:59:796;0.066;0.278;0.989;1.029
14:08:59:799;0.051;0.274;1.012;1.050
14:08:59:801;0.027;0.246;0.985;1.016
14:08:59:803;0.027;0.238;0.993;1.021
14:08:59:804;0.020;0.235;0.989;1.017
14:08:59:836;0.016;0.235;0.981;1.009
14:08:59:838;0.008;0.242;0.981;1.011
14:08:59:864;0.020;0.258;0.977;1.011
14:08:59:866;0.023;0.262;0.973;1.008
14:08:59:877;0.020;0.258;0.973;1.007
14:08:59:879;0.016;0.246;0.969;1.000
14:08:59:903;0.016;0.238;0.973;1.002
14:08:59:922;0.020;0.242;0.973;1.003
14:08:59:932;0.023;0.246;0.973;1.004
14:08:59:943;0.023;0.242;0.973;1.003
14:08:59:953;0.023;0.246;0.977;1.008
14:08:59:980;0.016;0.238;0.973;1.002
14:08:59:981;0.012;0.238;0.973;1.002
14:09:00:3;0.012;0.235;0.977;1.005
14:09:00:33;0.012;0.235;0.973;1.001
14:09:00:69;0.016;0.242;0.977;1.007
14:09:00:100;0.020;0.242;0.977;1.007
14:09:00:102;0.020;0.242;0.989;1.018
14:09:00:125;0.020;0.246;0.981;1.012
14:09:00:127;0.023;0.250;0.981;1.013
14:09:00:128;0.023;0.250;0.973;1.005
14:09:00:136;0.023;0.246;0.973;1.004
14:09:00:146;0.023;0.246;0.977;1.008
14:09:00:167;0.023;0.246;0.981;1.012
14:09:00:186;0.023;0.246;0.989;1.019
14:09:00:196;0.020;0.242;0.985;1.015
14:09:00:216;0.023;0.246;0.973;1.004
14:09:00:226;0.020;0.242;0.969;0.999
14:09:00:246;0.016;0.242;0.965;0.996
14:09:00:256;0.016;0.242;0.969;0.999
14:09:00:276;0.020;0.242;0.977;1.007
14:09:00:296;0.023;0.238;0.977;1.006
14:09:00:306;0.020;0.238;0.977;1.006
14:09:00:326;0.020;0.242;0.965;0.996
14:09:00:336;0.020;0.238;0.965;0.995
14:09:00:356;0.016;0.235;0.965;0.994
14:09:00:366;0.023;0.238;0.969;0.999
14:09:00:386;0.027;0.242;0.973;1.003
14:09:00:406;0.027;0.242;0.977;1.007
14:09:00:416;0.023;0.242;0.973;1.003
14:09:00:436;0.012;0.235;0.973;1.001
14:09:00:446;0.008;0.231;0.973;1.000
14:09:00:466;0.008;0.235;0.981;1.009
14:09:00:476;0.012;0.235;0.973;1.001
14:09:00:496;0.016;0.238;0.981;1.010
14:09:00:509;0.020;0.238;0.977;1.006
14:09:00:526;0.023;0.235;0.985;1.013
14:09:00:546;0.020;0.250;0.981;1.013
14:09:00:556;0.020;0.250;0.973;1.005
14:09:00:576;0.004;0.246;0.969;1.000
14:09:00:586;-0.004;0.238;0.977;1.006
14:09:00:606;-0.008;0.227;0.993;1.018
14:09:00:618;0.000;0.223;0.973;0.998
14:09:00:636;-0.016;0.211;1.016;1.038
14:09:00:656;-0.008;0.203;0.969;0.991
14:09:00:666;-0.016;0.215;0.942;0.966
14:09:00:686;-0.004;0.203;0.973;0.994
14:09:00:702;0.000;0.207;0.969;0.991
14:09:00:728;0.004;0.223;0.965;0.991
14:09:00:735;0.008;0.231;0.969;0.996
14:09:00:751;0.008;0.238;0.962;0.991
14:09:00:763;0.012;0.250;0.958;0.990
14:09:00:784;0.020;0.266;0.962;0.998
